,ID_GPS,ISO,Country,Partyname,V14,Group,Group_region,Region,longitude,latitude
1902,37,AUS,Australia,Nick Xenophon,1.75,,Region1,East Asia and the Pacific,133.775136,-25.274398
2142,44,AZE,Azerbaijan,Independents,0,,Region2,Europe and Central Asia,47.576927,40.143105
2172,46,BDI,Burundi,Front for Democracy in Burundi,2,,Region7,Sub-Saharan Africa,29.918886,-3.373056
2179,47,BDI,Burundi,National Council for the Defense of Democracy,4,,Region7,Sub-Saharan Africa,29.918886,-3.373056
2183,48,BDI,Burundi,Union for National Progress,3.5,,Region7,Sub-Saharan Africa,29.918886,-3.373056
2184,49,BEL,Belgium,Christian Democrats and Flemish,3,,Region2,Europe and Central Asia,4.469936,50.503887
2395,50,BEL,Belgium,Flemish Interest,6.4,A,Region2,Europe and Central Asia,4.469936,50.503887
2396,51,BEL,Belgium,Francophone Reformist Movement,2.1,,Region2,Europe and Central Asia,4.469936,50.503887
2607,52,BEL,Belgium,Green,0.916666667,,Region2,Europe and Central Asia,4.469936,50.503887
2608,53,BEL,Belgium,Humanist Democratic Centre,2.875,,Region2,Europe and Central Asia,4.469936,50.503887
2714,54,BEL,Belgium,New Flemish Alliance,3.875,,Region2,Europe and Central Asia,4.469936,50.503887
2925,55,BEL,Belgium,Open Flemish Liberals and Democrats,1.818181818,,Region2,Europe and Central Asia,4.469936,50.503887
2926,56,BEL,Belgium,Socialist Party,1.916666667,,Region2,Europe and Central Asia,4.469936,50.503887
3137,57,BEL,Belgium,Socialist Party Differently,1.909090909,,Region2,Europe and Central Asia,4.469936,50.503887
3138,58,BEL,Belgium,Worker's Party,1.777777778,,Region2,Europe and Central Asia,4.469936,50.503887
3244,59,BEN,Benin,Alliance nationale pour le developpement et la democratie,7,B,Region7,Sub-Saharan Africa,2.315834,9.30769
3256,61,BEN,Benin,Alliance Soleil,7,B,Region7,Sub-Saharan Africa,2.315834,9.30769
3268,63,BEN,Benin,Cauri Forces for an Emerging Benin,7,B,Region7,Sub-Saharan Africa,2.315834,9.30769
3344,76,BFA,Burkina Faso,Union for Progress and Change,3.333333333,,Region7,Sub-Saharan Africa,-1.561593,12.238333
3363,77,BFA,Burkina Faso,Union for Rebirth-Sankarist,3,,Region7,Sub-Saharan Africa,-1.561593,12.238333
3364,81,BGD,Bangladesh,Bangladesh Tarikat Federation,7.333333333,B,Region6,South Asia,90.356331,23.684994
3481,83,BGD,Bangladesh,Jatiya Party  (Manju),3.75,,Region6,South Asia,90.356331,23.684994
3482,84,BGD,Bangladesh,Jatiyo Samajtantrik Dal ,1.75,,Region6,South Asia,90.356331,23.684994
3599,85,BGD,Bangladesh,Worker's Party of Bangladesh,1.75,,Region6,South Asia,90.356331,23.684994
3600,89,BGR,Bulgaria,United Patriots,8.125,C,Region2,Europe and Central Asia,25.48583,42.733883
3703,91,BHR,Bahrain,National Islamic Al-Menbar,9,D,Region4,Middle East and North Africa,50.637772,25.930414
3704,92,BHR,Bahrain,Independents,3,,Region4,Middle East and North Africa,50.637772,25.930414
3705,93,BHR,Bahrain,Islamic Al Asalah,8.5,C,Region4,Middle East and North Africa,50.637772,25.930414
3706,94,BHS,Bahamas,Democratic National Alliance,4,,Region3,Latin America and the Caribbean,-77.39628,25.03428
3748,96,BHS,Bahamas,Progressive Liberal Party,4,,Region3,Latin America and the Caribbean,-77.39628,25.03428
3769,98,BIH,Bosnia and Herzegovina,Democratic Front,2.714285714,,Region2,Europe and Central Asia,17.679076,43.915886
3778,99,BIH,Bosnia and Herzegovina,Democratic People's Alliance,1.5,,Region2,Europe and Central Asia,17.679076,43.915886
3779,100,BIH,Bosnia and Herzegovina,HDZ-HSS-HSP-HNS-HKDU-HSP-AS BiH-HDU BiH,4.5,,Region2,Europe and Central Asia,17.679076,43.915886
3788,101,BIH,Bosnia and Herzegovina,Our Party,2.333333333,,Region2,Europe and Central Asia,17.679076,43.915886
3789,106,BIH,Bosnia and Herzegovina,Union for a Better Future of BiH,2.666666667,,Region2,Europe and Central Asia,17.679076,43.915886
3794,110,BLR,Belarus,Non-partisans,9,D,Region2,Europe and Central Asia,27.953389,53.709807
3857,113,BLZ,Belize,Others,8.5,C,Region3,Latin America and the Caribbean,-88.49765,17.189877
3870,114,BLZ,Belize,People's United Party,5,,Region3,Latin America and the Caribbean,-88.49765,17.189877
3871,115,BLZ,Belize,United Democratic Party,8,C,Region3,Latin America and the Caribbean,-88.49765,17.189877
3878,116,BOL,Bolivia,Christian Democratic Party,6.666666667,A,Region3,Latin America and the Caribbean,-63.588653,-16.290154
4097,117,BOL,Bolivia,Movement for Socialism,2.8,,Region3,Latin America and the Caribbean,-63.588653,-16.290154
4098,118,BOL,Bolivia,National Unity Front,2.5,,Region3,Latin America and the Caribbean,-63.588653,-16.290154
4208,130,BRB,Barbados,Barbados Labor Party,2.5,,Region3,Latin America and the Caribbean,-59.543198,13.193887
4263,131,BRB,Barbados,Democratic Labor Party,2,,Region3,Latin America and the Caribbean,-59.543198,13.193887
4264,132,BTN,Bhutan,Bhutan United,2,,Region6,South Asia,90.433601,27.514162
4271,133,BTN,Bhutan,Peace and Prosperity,2,,Region6,South Asia,90.433601,27.514162
4272,134,BWA,Botswana,Botswana Congress Party,3.5,,Region7,Sub-Saharan Africa,24.684866,-22.328474
4306,135,BWA,Botswana,Botswana Democratic Party,3.6,,Region7,Sub-Saharan Africa,24.684866,-22.328474
4308,136,BWA,Botswana,Umbrella for Democratic Change,4,,Region7,Sub-Saharan Africa,24.684866,-22.328474
4326,152,CHL,Chile,Broad Front,1.1,,Region3,Latin America and the Caribbean,-71.542969,-35.675147
4697,153,CHL,Chile,Chile Let's Go,6.5,A,Region3,Latin America and the Caribbean,-71.542969,-35.675147
4698,154,CHL,Chile,Democratic Convergence,3,,Region3,Latin America and the Caribbean,-71.542969,-35.675147
5069,155,CHL,Chile,The Force of the Majority,2.5,,Region3,Latin America and the Caribbean,-71.542969,-35.675147
5070,156,CIV,Cote d'Ivoire,Independents,3.25,,Region7,Sub-Saharan Africa,-5.54708,7.539989
5133,157,CIV,Cote d'Ivoire,Ivorian Popular Front,4.4,,Region7,Sub-Saharan Africa,-5.54708,7.539989
5134,158,CIV,Cote d'Ivoire,Rally of Houphouetists for Democracy and Peace,3,,Region7,Sub-Saharan Africa,-5.54708,7.539989
5197,159,CIV,Cote d'Ivoire,Union for Cote d'Ivoire,4,,Region7,Sub-Saharan Africa,-5.54708,7.539989
5198,160,CIV,Cote d'Ivoire,Union for Democracy and Peace in Cote d'Ivoire,3.6,,Region7,Sub-Saharan Africa,-5.54708,7.539989
5230,161,CMR,Cameroon,Cameroon Democratic Union,1,,Region7,Sub-Saharan Africa,12.354722,7.369722
5246,162,CMR,Cameroon,Cameroon People's Democratic Movement,2.2,,Region7,Sub-Saharan Africa,12.354722,7.369722
5255,163,CMR,Cameroon,Cameroon Renaissance Movement,0.666666667,,Region7,Sub-Saharan Africa,12.354722,7.369722
5265,164,CMR,Cameroon,Movement for the Defense of the Republic,1,,Region7,Sub-Saharan Africa,12.354722,7.369722
5266,165,CMR,Cameroon,National Union for Democracy and Progress,0.666666667,,Region7,Sub-Saharan Africa,12.354722,7.369722
5283,166,CMR,Cameroon,Social Democratic Front,2.6,,Region7,Sub-Saharan Africa,12.354722,7.369722
5284,167,CMR,Cameroon,Union of the Peoples of Cameroon,0.666666667,,Region7,Sub-Saharan Africa,12.354722,7.369722
5293,168,COD,Democratic Republic of the Congo,Heading for Change,3,,Region7,Sub-Saharan Africa,21.758664,-4.038333
5296,169,COD,Democratic Republic of the Congo,Joint Front for Congo,3.5,,Region7,Sub-Saharan Africa,21.758664,-4.038333
5298,170,COD,Democratic Republic of the Congo,Lamuka Coalition,1.333333333,,Region7,Sub-Saharan Africa,21.758664,-4.038333
5299,171,COG,Republic of the Congo,Action Movement for Renewal,4,,Region7,Sub-Saharan Africa,15.827659,-0.228021
5303,172,COG,Republic of the Congo,Club 2002 PUR,4,,Region7,Sub-Saharan Africa,15.827659,-0.228021
5307,173,COG,Republic of the Congo,Congolese Party of Labour,4,,Region7,Sub-Saharan Africa,15.827659,-0.228021
5311,174,COG,Republic of the Congo,Dynamic for the Republic and Recovery,4,,Region7,Sub-Saharan Africa,15.827659,-0.228021
5315,175,COG,Republic of the Congo,Independents,3,,Region7,Sub-Saharan Africa,15.827659,-0.228021
5319,176,COG,Republic of the Congo,Pan-African Union for Social Democracy,3,,Region7,Sub-Saharan Africa,15.827659,-0.228021
5323,177,COG,Republic of the Congo,Party for Agreement and Political Action,3,,Region7,Sub-Saharan Africa,15.827659,-0.228021
5327,178,COG,Republic of the Congo,Patriotic Front,3,,Region7,Sub-Saharan Africa,15.827659,-0.228021
5331,179,COG,Republic of the Congo,Rally for Democracy and Social Progress,3,,Region7,Sub-Saharan Africa,15.827659,-0.228021
5335,180,COG,Republic of the Congo,Union for a People's Movement,3,,Region7,Sub-Saharan Africa,15.827659,-0.228021
5702,183,COL,Colombia,Coalition List of the Decency,0,,Region3,Latin America and the Caribbean,-74.297333,4.570868
5703,191,COM,Comoros,Convention for the Renewal of the Comoros,10,E,Region7,Sub-Saharan Africa,43.872219,-11.875001
5705,192,COM,Comoros,Democratic Rally of the Comoros,2,,Region7,Sub-Saharan Africa,43.872219,-11.875001
5707,193,COM,Comoros,Independents,0,,Region7,Sub-Saharan Africa,43.872219,-11.875001
5710,194,COM,Comoros,JUWA party,0,,Region7,Sub-Saharan Africa,43.872219,-11.875001
5714,196,COM,Comoros,Rally for an Alternative of Harmonious and Integrated Development,10,E,Region7,Sub-Saharan Africa,43.872219,-11.875001
5715,197,COM,Comoros,Union for the Development of the Comoros,0,,Region7,Sub-Saharan Africa,43.872219,-11.875001
5717,198,CPV,Cape Verde,African Party for the Independence of Cape Verde,2,,Region7,Sub-Saharan Africa,-24.013197,16.002082
5726,199,CPV,Cape Verde,Democratic and Independent Cape Verdean Union,4,,Region7,Sub-Saharan Africa,-24.013197,16.002082
5736,201,CPV,Cape Verde,Movement for Democracy,3,,Region7,Sub-Saharan Africa,-24.013197,16.002082
5741,202,CPV,Cape Verde,People's Party,2,,Region7,Sub-Saharan Africa,-24.013197,16.002082
5747,204,CRI,Costa Rica,Accessibility without Exclusion,6.833333333,A,Region3,Latin America and the Caribbean,-83.753428,9.748917
6128,205,CRI,Costa Rica,Broad Front,0.5,,Region3,Latin America and the Caribbean,-83.753428,9.748917
6129,206,CRI,Costa Rica,Citizens Action Party,1,,Region3,Latin America and the Caribbean,-83.753428,9.748917
6510,207,CRI,Costa Rica,Libertarian Movement Party,5.666666667,,Region3,Latin America and the Caribbean,-83.753428,9.748917
6511,208,CRI,Costa Rica,National Integration,8.166666667,C,Region3,Latin America and the Caribbean,-83.753428,9.748917
6892,209,CRI,Costa Rica,National Liberation Party,2.166666667,,Region3,Latin America and the Caribbean,-83.753428,9.748917
6893,210,CRI,Costa Rica,National Restoration,8.5,C,Region3,Latin America and the Caribbean,-83.753428,9.748917
7274,211,CRI,Costa Rica,New Generation Party,5.666666667,,Region3,Latin America and the Caribbean,-83.753428,9.748917
7275,212,CRI,Costa Rica,Social Christian Unity Party,6.166666667,A,Region3,Latin America and the Caribbean,-83.753428,9.748917
7656,213,CRI,Costa Rica,Social-Christian Republican Party,8,C,Region3,Latin America and the Caribbean,-83.753428,9.748917
7657,214,CUB,Cuba,Communist Party,1.5,,Region3,Latin America and the Caribbean,-77.781167,21.521757
7664,215,CYP,Cyprus,Citizen's Alliance,2.75,,Region2,Europe and Central Asia,33.429859,35.126413
7723,222,CYP,Cyprus,Solidarity Movement,3.285714286,,Region2,Europe and Central Asia,33.429859,35.126413
7724,223,CZE,Czech Republic,ANO 2011,4.5,,Region2,Europe and Central Asia,15.472962,49.817492
8021,227,CZE,Czech Republic,Czech Pirate Party,1.92,,Region2,Europe and Central Asia,15.472962,49.817492
8022,231,CZE,Czech Republic,TOP 09,3.045454545,,Region2,Europe and Central Asia,15.472962,49.817492
8171,239,DJI,Djibouti,Center of Unified Democrats,0,,Region4,Middle East and North Africa,42.590275,11.825138
8180,240,DJI,Djibouti,Union for Democracy and Justice / Djibouti Development Party,0,,Region4,Middle East and North Africa,42.590275,11.825138
8185,241,DJI,Djibouti,Union for the Presidential Majority,0,,Region4,Middle East and North Africa,42.590275,11.825138
8186,243,DNK,Denmark,Christian Democrats,6.333333333,A,Region2,Europe and Central Asia,9.501785,56.26392
8560,254,DOM,Dominican Republic,Liberal Reformist Party,7.333333333,B,Region3,Latin America and the Caribbean,-70.162651,18.735693
8561,255,DOM,Dominican Republic,Modern Revolutionary Party,3,,Region3,Latin America and the Caribbean,-70.162651,18.735693
8657,261,DZA,Algeria,Tajamoua Emel El Djazair,7.5,B,Region4,Middle East and North Africa,1.659626,28.033886
8860,279,ERI,Eritrea,People's Front for Democracy and Justice,6,A,Region7,Sub-Saharan Africa,39.782334,15.179384
8861,285,ESP,Spain,Together for Catalonia,2.688888889,,Region2,Europe and Central Asia,-3.74922,40.463667
9016,287,ESP,Spain,Vox,9.026666667,D,Region2,Europe and Central Asia,-3.74922,40.463667
9171,297,ETH,Ethiopia,The Argoba People Democratic Organization,4,,Region7,Sub-Saharan Africa,40.489673,9.145
9224,299,ETH,Ethiopia,The Gambela People's Unity Democratic Movement,4.75,,Region7,Sub-Saharan Africa,40.489673,9.145
9225,300,ETH,Ethiopia,The Harari National League,4.5,,Region7,Sub-Saharan Africa,40.489673,9.145
9252,310,FJI,Fiji,Fiji Labor Party,3,,Region1,East Asia and the Pacific,179.414413,-16.578193
9285,311,FJI,Fiji,FijiFirst,2.625,,Region1,East Asia and the Pacific,179.414413,-16.578193
9286,312,FJI,Fiji,HOPE Party,2.4,,Region1,East Asia and the Pacific,179.414413,-16.578193
9319,313,FJI,Fiji,National Federation Party,2.5,,Region1,East Asia and the Pacific,179.414413,-16.578193
9320,314,FJI,Fiji,Social Democratic Liberal Party,5,,Region1,East Asia and the Pacific,179.414413,-16.578193
9353,315,FJI,Fiji,Unity Fiji Party,3.333333333,,Region1,East Asia and the Pacific,179.414413,-16.578193
9354,323,GAB,Gabon,Circle of Liberal Reformers,3,,Region7,Sub-Saharan Africa,11.609444,-0.803689
9385,324,GAB,Gabon,Gabonese Democratic Party,3,,Region7,Sub-Saharan Africa,11.609444,-0.803689
9386,325,GAB,Gabon,National Union,4,,Region7,Sub-Saharan Africa,11.609444,-0.803689
9402,326,GBR,United Kingdom,Brexit Party,8.086956522,C,Region2,Europe and Central Asia,-3.435973,55.378051
9963,328,GBR,United Kingdom,Democratic Unionist Party,8.647058824,C,Region2,Europe and Central Asia,-3.435973,55.378051
9964,334,GBR,United Kingdom,Sinn Féin,3.428571429,,Region2,Europe and Central Asia,-3.435973,55.378051
10525,335,GBR,United Kingdom,UK Independence Party,8.421052632,C,Region2,Europe and Central Asia,-3.435973,55.378051
10526,337,GEO,Georgia,Georgian Dream,3.833333333,,Region2,Europe and Central Asia,43.356892,42.315407
10639,338,GEO,Georgia,Independents,3.5,,Region2,Europe and Central Asia,43.356892,42.315407
10640,339,GEO,Georgia,"Topadze - Industrialists, Our Fatherland",4.2,,Region2,Europe and Central Asia,43.356892,42.315407
10697,343,GIN,Guinea,New Generation for the Republic,10,E,Region7,Sub-Saharan Africa,-9.696645,9.945587
10708,344,GIN,Guinea,Party of Hope for National Development,10,E,Region7,Sub-Saharan Africa,-9.696645,9.945587
10709,345,GIN,Guinea,Rally of the Guinean People,7,B,Region7,Sub-Saharan Africa,-9.696645,9.945587
10720,346,GIN,Guinea,Union for the Progress of Guinea,9,D,Region7,Sub-Saharan Africa,-9.696645,9.945587
10721,347,GIN,Guinea,Union of Democratic Forces of Guinea,10,E,Region7,Sub-Saharan Africa,-9.696645,9.945587
10732,348,GIN,Guinea,Union of Republican Forces,10,E,Region7,Sub-Saharan Africa,-9.696645,9.945587
10733,349,GMB,Gambia,Alliance for Patriotic Reorientation and Construction,9,D,Region7,Sub-Saharan Africa,-15.310139,13.443182
10764,350,GMB,Gambia,Gambia Democratic Congress,9,D,Region7,Sub-Saharan Africa,-15.310139,13.443182
10765,351,GMB,Gambia,National Reconciliation Party,9,D,Region7,Sub-Saharan Africa,-15.310139,13.443182
10796,352,GMB,Gambia,People's Democratic Organization for Independence and Socialism,2,,Region7,Sub-Saharan Africa,-15.310139,13.443182
10797,353,GMB,Gambia,People's Progressive Party,9,D,Region7,Sub-Saharan Africa,-15.310139,13.443182
10829,355,GNB,Guinea-Bissau,African Party for the Independence of Guinea-Bissau and Cape Verde,2,,Region7,Sub-Saharan Africa,-15.180413,11.803749
10838,356,GNB,Guinea-Bissau,Assembly of the People United–Democratic Party of Guinea-Bissau,7,B,Region7,Sub-Saharan Africa,-15.180413,11.803749
10839,357,GNB,Guinea-Bissau,Madem-G15,7,B,Region7,Sub-Saharan Africa,-15.180413,11.803749
10848,358,GNB,Guinea-Bissau,New Democracy Party,3,,Region7,Sub-Saharan Africa,-15.180413,11.803749
10849,359,GNB,Guinea-Bissau,Party for Democratic Convergence,2,,Region7,Sub-Saharan Africa,-15.180413,11.803749
10858,360,GNB,Guinea-Bissau,Party for Social Renewal,7,B,Region7,Sub-Saharan Africa,-15.180413,11.803749
10859,361,GNB,Guinea-Bissau,Union for Change,1,,Region7,Sub-Saharan Africa,-15.180413,11.803749
10864,362,GNQ,Equatorial Guinea,Citizens for Innovation,3.5,,Region7,Sub-Saharan Africa,10.267895,1.650801
10865,363,GNQ,Equatorial Guinea,Democratic Party of Equatorial Guinea,5.666666667,,Region7,Sub-Saharan Africa,10.267895,1.650801
10866,364,GNQ,Equatorial Guinea,Together We Can,6.5,A,Region7,Sub-Saharan Africa,10.267895,1.650801
10867,369,GRC,Greece,Pan Hellenic Socialist Movement,2.272727273,,Region2,Europe and Central Asia,21.824312,39.074208
11100,371,GRC,Greece,The River,0.818181818,,Region2,Europe and Central Asia,21.824312,39.074208
11101,372,GRC,Greece,Union of Centrists,5,,Region2,Europe and Central Asia,21.824312,39.074208
11218,373,GRD,Grenada,New National Party,2.333333333,,Region3,Latin America and the Caribbean,-61.604171,12.262776
11353,375,GTM,Guatemala,Encounter for Guatemala,1,,Region3,Latin America and the Caribbean,-90.230759,15.783471
11354,376,GTM,Guatemala,Everyone Together for Guatemala,3,,Region3,Latin America and the Caribbean,-90.230759,15.783471
11487,377,GTM,Guatemala,Guatemalan National Revolutionary Unity,2.5,,Region3,Latin America and the Caribbean,-90.230759,15.783471
11488,378,GTM,Guatemala,National Convergence Front,8,C,Region3,Latin America and the Caribbean,-90.230759,15.783471
11622,381,GTM,Guatemala,Patriot Party,8,C,Region3,Latin America and the Caribbean,-90.230759,15.783471
11689,382,GTM,Guatemala,Renewed Democratic Liberty Party,8,C,Region3,Latin America and the Caribbean,-90.230759,15.783471
11822,383,GTM,Guatemala,Vision with Values,9,D,Region3,Latin America and the Caribbean,-90.230759,15.783471
11823,384,GUY,Guyana,People’s Progressive Party – Civic  ,2.5,,Region3,Latin America and the Caribbean,-58.93018,4.860416
11834,385,GUY,Guyana,United Guyana-National Unity (APNU),2.5,,Region3,Latin America and the Caribbean,-58.93018,4.860416
11835,387,HRV,Croatia,Croatian Labourists - Labour Party,1,,Region2,Europe and Central Asia,15.2,45.1
11908,388,HRV,Croatia,Even Stronger Istria Coalition,1.285714286,,Region2,Europe and Central Asia,15.2,45.1
11909,389,HRV,Croatia,For Prime Minister Coalition,3.8,,Region2,Europe and Central Asia,15.2,45.1
11982,390,HRV,Croatia,HDSSB Coalition,6.6,A,Region2,Europe and Central Asia,15.2,45.1
11983,392,HRV,Croatia,Homeland Coalition,8.166666667,C,Region2,Europe and Central Asia,15.2,45.1
12056,394,HRV,Croatia,The Only Option Coalition,3.8,,Region2,Europe and Central Asia,15.2,45.1
12057,395,HRV,Croatia,Turn Croatia Around Coalition,3,,Region2,Europe and Central Asia,15.2,45.1
12094,397,HTI,Haiti,Convention for Democratic Unity,3.5,,Region3,Latin America and the Caribbean,-72.285215,18.971187
12103,399,HTI,Haiti,Haiti in Action,6.5,A,Region3,Latin America and the Caribbean,-72.285215,18.971187
12104,401,HTI,Haiti,Tet Kole sous Chimen Devlopman pou un Nord'Ouest uni et Renonve,4,,Region3,Latin America and the Caribbean,-72.285215,18.971187
12113,403,HTI,Haiti,Patriotic Unity Party,4,,Region3,Latin America and the Caribbean,-72.285215,18.971187
12114,404,HTI,Haiti,Regrouping of Social Democratic Fusion,3.8,,Region3,Latin America and the Caribbean,-72.285215,18.971187
12123,405,HTI,Haiti,Truth,2.666666667,,Region3,Latin America and the Caribbean,-72.285215,18.971187
12124,407,HUN,Hungary,Independents,1.5,,Region2,Europe and Central Asia,19.503304,47.162494
12434,433,IND,India,Yuvajana Sramika Rythu Congress Party,4.636363636,,Region6,South Asia,78.96288,20.593684
12652,434,IRL,Ireland,Anti-Austerity Alliance - People Before Profit,1.588235294,,Region2,Europe and Central Asia,-8.24389,53.41291
12863,435,IRL,Ireland,Fianna Fail,3.692307692,,Region2,Europe and Central Asia,-8.24389,53.41291
12864,436,IRL,Ireland,Fine Gael,3.444444444,,Region2,Europe and Central Asia,-8.24389,53.41291
13075,437,IRL,Ireland,Green Party,1.833333333,,Region2,Europe and Central Asia,-8.24389,53.41291
13076,438,IRL,Ireland,Independent Alliance,4.5,,Region2,Europe and Central Asia,-8.24389,53.41291
13287,439,IRL,Ireland,Independents,7,B,Region2,Europe and Central Asia,-8.24389,53.41291
13288,440,IRL,Ireland,Labour Party,1.611111111,,Region2,Europe and Central Asia,-8.24389,53.41291
13499,441,IRL,Ireland,Renua Ireland,8.142857143,C,Region2,Europe and Central Asia,-8.24389,53.41291
13500,442,IRL,Ireland,Sinn Fein,2.411764706,,Region2,Europe and Central Asia,-8.24389,53.41291
13711,443,IRL,Ireland,Social Democrats,1.470588235,,Region2,Europe and Central Asia,-8.24389,53.41291
13712,444,IRN,Iran,Executives of Construction Party,7,B,Region4,Middle East and North Africa,53.688046,32.427908
13780,446,IRN,Iran,Islamic Iran Participation Front,4,,Region4,Middle East and North Africa,53.688046,32.427908
13848,448,IRQ,Iraq,Fatah Alliance,7,B,Region4,Middle East and North Africa,43.679291,33.223191
13863,450,IRQ,Iraq,Marching Towards Reform,2,,Region4,Middle East and North Africa,43.679291,33.223191
13864,452,IRQ,Iraq,National Coalition,2,,Region4,Middle East and North Africa,43.679291,33.223191
13879,453,IRQ,Iraq,National Wisdom Movement,7,B,Region4,Middle East and North Africa,43.679291,33.223191
13880,455,IRQ,Iraq,State of Law Coalition,7,B,Region4,Middle East and North Africa,43.679291,33.223191
13896,457,IRQ,Iraq,Victory Alliance,7,B,Region4,Middle East and North Africa,43.679291,33.223191
13904,466,ISL,Iceland,Social Democratic Alliance,1.3,,Region2,Europe and Central Asia,-19.020835,64.963051
13975,467,ISR,Israel,Jewish Home,7.7,B,Region4,Middle East and North Africa,34.851612,31.046051
14212,468,ISR,Israel,"Joint List: Hadash, United Arab List, Balad, Taal",4,,Region4,Middle East and North Africa,34.851612,31.046051
14213,469,ISR,Israel,Kulanu/All of Us,3.6,,Region4,Middle East and North Africa,34.851612,31.046051
14450,473,ISR,Israel,United Torah Judaism,9.5,D,Region4,Middle East and North Africa,34.851612,31.046051
14451,474,ISR,Israel,There is a Future,1.538461538,,Region4,Middle East and North Africa,34.851612,31.046051
14688,475,ISR,Israel,Israel is our Home,2.714285714,,Region4,Middle East and North Africa,34.851612,31.046051
14689,476,ISR,Israel,Zionist Bloc,1.7,,Region4,Middle East and North Africa,34.851612,31.046051
14808,478,ITA,Italy,Associative Movement Italians Abroad,3,,Region2,Europe and Central Asia,12.56738,41.87194
15146,483,JAM,Jamaica,Jamaica Labour Party,1.25,,Region3,Latin America and the Caribbean,-77.297508,18.109581
15477,486,JAM,Jamaica,People's National Party,0.25,,Region3,Latin America and the Caribbean,-77.297508,18.109581
15478,489,JOR,Jordan,National Union Party,7,B,Region4,Middle East and North Africa,36.238414,30.585164
15541,490,JOR,Jordan,Stronger Jordan,7,B,Region4,Middle East and North Africa,36.238414,30.585164
15542,491,JOR,Jordan,The Homeland,7,B,Region4,Middle East and North Africa,36.238414,30.585164
15574,492,JPN,Japan,Constitutional Democratic Party of Japan,1.733333333,,Region1,East Asia and the Pacific,138.252924,36.204824
15747,496,JPN,Japan,Nippon Ishin no Kai,6.909090909,A,Region1,East Asia and the Pacific,138.252924,36.204824
15748,497,JPN,Japan,Party of Hope,3,,Region1,East Asia and the Pacific,138.252924,36.204824
15835,503,KAZ,Kazakhstan,Nationwide Social Democratic Party,0,,Region2,Europe and Central Asia,66.923684,48.019573
15871,505,KEN,Kenya,Amani Coalition,6.5,A,Region7,Sub-Saharan Africa,37.906193,-0.023559
15934,506,KEN,Kenya,Chama Cha Uzalendo,10,E,Region7,Sub-Saharan Africa,37.906193,-0.023559
15935,507,KEN,Kenya,Forum for the Restoration of Democracy-People,6,A,Region7,Sub-Saharan Africa,37.906193,-0.023559
15998,508,KEN,Kenya,Independents,10,E,Region7,Sub-Saharan Africa,37.906193,-0.023559
15999,512,KEN,Kenya,Jubilee,5,,Region7,Sub-Saharan Africa,37.906193,-0.023559
16062,509,KEN,Kenya,Kenya African National Union,7.333333333,B,Region7,Sub-Saharan Africa,37.906193,-0.023559
